comment,date_experience,review_score,timestamp,title,user_name
Un outil très pratique pour la gestion en comptabilité,Temps d'utilisation du logiciel : plus d'un an,"4,0",il y a 5 mois,Agréable pour la gestion,Marion
"My overall experience with NetSuite has been very positive. The platform is easy to use and understand, and the user interface is straightforward and intuitive. The features are comprehensive and allow for a wide range of customization and automation.",Temps d'utilisation du logiciel : Essai gratuit,"4,0",il y a 9 mois,One of the cloud accounting software automates for Business Owner,Vladimir
"J'ai principalement utilisé Kahoot pendant mes années d'étude, lors de cours et de présentations, principalement en tant que participatrice aux quiz, mais aussi en tant qu'organisatrice.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 5 mois,Kahoot : un super logiciel pour apprendre ensemble,Utilisateur vérifié
Je l'utilise en tant que formatrice pour évaluer rapidement et ponctuellement les connaissances de mes apprenants.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,Un outil pour évaluer dans la bonne humeur,emilie
J’utilise généralement Kahoot! au cours d’événements pour présenter des chiffes et et fonctions clés de mon entreprise ou de mon métier. L’application permet d’évoquer de multiples questions et ouvre à la discussion d’une manière ludique. Je recommande.,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 5 mois,Brainstorming entre équipes,Axelle
"Dans l'ensemble, c'est une très bonne application qui permet d'évaluer son équipe tout en s'amusant",Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 3 mois,Apprendre en s'amusant,Léa
"Excellent pour animer des séances de formation interne, pour les rendre moins formelles",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 11 mois,"Kahoot, pour éviter d'être kaputt",Marina
"Utilisé à la fac et dans mes emplois post fac, j'ai pu voir qu'il y avait des limites à ce logiciel qui reste un incontournable dans le domaine. Pratique pour animer les réunions notamment lorsqu'il faut sensibiliser sur des sujets. Il manque quand même certains aspects de personnalisation pour se sentir plus à l'aise.",Temps d'utilisation du logiciel : Essai gratuit,"4,0",il y a 3 semaines,Un outil plutôt simple et convivial,Maxime
Permettait de crée un jeux de questions (Quiz) sur la fondation de l'Europe pour l'école.,Temps d'utilisation du logiciel : 1 à 5 mois,"4,0",il y a 11 mois,Très bien en familles ou dans les écoles et entreprises.,Utilisateur vérifié
Software that is really instructive.,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 2 ans,My review for Kahoot,Boukhalfa
It's a tool that can be used from time to time but not too often. It needs more free options to vary the format of the questions and music.,Temps d'utilisation du logiciel : plus d'un an,"3,0",il y a 3 ans,Useful tool but limited in its uses,charles
"J'ai principalement utilisé Kahoot pendant mes années d'étude, lors de cours et de présentations, principalement en tant que participatrice aux quiz, mais aussi en tant qu'organisatrice.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 5 mois,Kahoot : un super logiciel pour apprendre ensemble,Utilisateur vérifié
Je l'utilise en tant que formatrice pour évaluer rapidement et ponctuellement les connaissances de mes apprenants.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,Un outil pour évaluer dans la bonne humeur,emilie
J’utilise généralement Kahoot! au cours d’événements pour présenter des chiffes et et fonctions clés de mon entreprise ou de mon métier. L’application permet d’évoquer de multiples questions et ouvre à la discussion d’une manière ludique. Je recommande.,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 5 mois,Brainstorming entre équipes,Axelle
"Dans l'ensemble, c'est une très bonne application qui permet d'évaluer son équipe tout en s'amusant",Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 3 mois,Apprendre en s'amusant,Léa
"Excellent pour animer des séances de formation interne, pour les rendre moins formelles",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 11 mois,"Kahoot, pour éviter d'être kaputt",Marina
"Utilisé à la fac et dans mes emplois post fac, j'ai pu voir qu'il y avait des limites à ce logiciel qui reste un incontournable dans le domaine. Pratique pour animer les réunions notamment lorsqu'il faut sensibiliser sur des sujets. Il manque quand même certains aspects de personnalisation pour se sentir plus à l'aise.",Temps d'utilisation du logiciel : Essai gratuit,"4,0",il y a 3 semaines,Un outil plutôt simple et convivial,Maxime
Permettait de crée un jeux de questions (Quiz) sur la fondation de l'Europe pour l'école.,Temps d'utilisation du logiciel : 1 à 5 mois,"4,0",il y a 11 mois,Très bien en familles ou dans les écoles et entreprises.,Utilisateur vérifié
Software that is really instructive.,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 2 ans,My review for Kahoot,Boukhalfa
It's a tool that can be used from time to time but not too often. It needs more free options to vary the format of the questions and music.,Temps d'utilisation du logiciel : plus d'un an,"3,0",il y a 3 ans,Useful tool but limited in its uses,charles
expérience globalement positive pour un utilisateur lambda comme moi. Me permet de sauvegarder mes fichiers et photos facilement et de les partagés en un clic.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,Mon Cloud à usage personnel préféré,Utilisateur vérifié
