comment,date_experience,review_score,timestamp,title,user_name
Une fois adapté et habitué à pipedrive il facilite la vie quotidienne de CRM,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 10 mois,Crm,Maroun
"En tant que startup, Pipedrive a été un excellent CRM pour notre entreprise. Sa conception conviviale et ses options personnalisables pour la gestion des pipelines et des flux de travail m'en ont facilité l'utilisation. Malgré des problèmes mineurs, j'ai trouvé que Pipedrive était un CRM efficace et efficace.",Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 9 mois,Mon expérience simple et efficace avec un CRM de démarrage,Nassima
Mon expérience globale avec Pipedrive a été positive. Je crois que cela m'a aidé à rationaliser mon processus de vente et à rester au top de mes tâches.,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 9 mois,Transformer les ventes avec Pipedrive : avantages et inconvénients,Paule
"Globalement l'expérience de Pipedrive est bonne. J'avais un profil novice sur les CRM et j'ai facilement pu le prendre en main.On peut, grâce aux rapports pré-définis avoir accès à des metrics intéressante pour analyser nos ventes. Mais cela pourrait aller un peu plus loin.Il y a certainement des améliorations à faire côté ergonomie. Et notamment pour faire des passations entre des équipes Sales -> CS (ce qui a commencé à être fait avec l'arrivée de ""projects"").",Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 10 mois,Pipedrive : un CRM simple à appréhender !,Utilisateur vérifié
"Globalement j’en suis très content, un CRM très complet et performant pour la gestion de la relation client.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 5 mois,Un bon logiciel pour la gestion des clients,Laurent
Pipedrive a été un excellent ajout à notre boîte à outils de vente.,Temps d'utilisation du logiciel : 1 à 5 mois,"5,0",il y a 9 mois,CRM convivial : mon expérience avec Pipedrive,Elias
Conquise par ce CRM,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 4 mois,Prospection et CRM,Elise
With Pipedrive I can easily track and manage my leads on a daily basis.,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 2 ans,I switched from Hubspot to Pipedrive on a friend's recommendation,Benjamin
"I loved Pipedrive while I was using it as a beginner because of its simplistic nature, but ended up switching after our company grew past 20 employees because it could not meet our demands",Temps d'utilisation du logiciel : plus d'un an,"4,0",l’année dernière,Great choice for small businesses or startups,Maggie
Our team of 10 sales reps have had 5 excellent years using Pipedrive.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,A great lightweight CRM,Hugo
Very good CRM. Good way to automatise your differents tasks.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,Easy to use,Stanislas
"When your needs are basic, and database not too big, it is a good software.",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 3 ans,decent CRM for SMB,Utilisateur vérifié
It's reasonably priced and I use it every day to manage my business.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 3 mois,Easy-to-configure CRM,ousseynou
We use it for deal flow for our fund to select companies in which to invest. Does the job great.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 5 ans,Excellent combination of power and ease of use,Patrick
Une fois adapté et habitué à pipedrive il facilite la vie quotidienne de CRM,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 10 mois,Crm,Maroun
"En tant que startup, Pipedrive a été un excellent CRM pour notre entreprise. Sa conception conviviale et ses options personnalisables pour la gestion des pipelines et des flux de travail m'en ont facilité l'utilisation. Malgré des problèmes mineurs, j'ai trouvé que Pipedrive était un CRM efficace et efficace.",Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 9 mois,Mon expérience simple et efficace avec un CRM de démarrage,Nassima
Mon expérience globale avec Pipedrive a été positive. Je crois que cela m'a aidé à rationaliser mon processus de vente et à rester au top de mes tâches.,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 9 mois,Transformer les ventes avec Pipedrive : avantages et inconvénients,Paule
"Globalement l'expérience de Pipedrive est bonne. J'avais un profil novice sur les CRM et j'ai facilement pu le prendre en main.On peut, grâce aux rapports pré-définis avoir accès à des metrics intéressante pour analyser nos ventes. Mais cela pourrait aller un peu plus loin.Il y a certainement des améliorations à faire côté ergonomie. Et notamment pour faire des passations entre des équipes Sales -> CS (ce qui a commencé à être fait avec l'arrivée de ""projects"").",Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 10 mois,Pipedrive : un CRM simple à appréhender !,Utilisateur vérifié
"Globalement j’en suis très content, un CRM très complet et performant pour la gestion de la relation client.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 5 mois,Un bon logiciel pour la gestion des clients,Laurent
Pipedrive a été un excellent ajout à notre boîte à outils de vente.,Temps d'utilisation du logiciel : 1 à 5 mois,"5,0",il y a 9 mois,CRM convivial : mon expérience avec Pipedrive,Elias
Conquise par ce CRM,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 4 mois,Prospection et CRM,Elise
With Pipedrive I can easily track and manage my leads on a daily basis.,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 2 ans,I switched from Hubspot to Pipedrive on a friend's recommendation,Benjamin
"I loved Pipedrive while I was using it as a beginner because of its simplistic nature, but ended up switching after our company grew past 20 employees because it could not meet our demands",Temps d'utilisation du logiciel : plus d'un an,"4,0",l’année dernière,Great choice for small businesses or startups,Maggie
Our team of 10 sales reps have had 5 excellent years using Pipedrive.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,A great lightweight CRM,Hugo
Very good CRM. Good way to automatise your differents tasks.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,Easy to use,Stanislas
"When your needs are basic, and database not too big, it is a good software.",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 3 ans,decent CRM for SMB,Utilisateur vérifié
It's reasonably priced and I use it every day to manage my business.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 3 mois,Easy-to-configure CRM,ousseynou
We use it for deal flow for our fund to select companies in which to invest. Does the job great.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 5 ans,Excellent combination of power and ease of use,Patrick
Une fois adapté et habitué à pipedrive il facilite la vie quotidienne de CRM,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 10 mois,Crm,Maroun
"En tant que startup, Pipedrive a été un excellent CRM pour notre entreprise. Sa conception conviviale et ses options personnalisables pour la gestion des pipelines et des flux de travail m'en ont facilité l'utilisation. Malgré des problèmes mineurs, j'ai trouvé que Pipedrive était un CRM efficace et efficace.",Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 9 mois,Mon expérience simple et efficace avec un CRM de démarrage,Nassima
Mon expérience globale avec Pipedrive a été positive. Je crois que cela m'a aidé à rationaliser mon processus de vente et à rester au top de mes tâches.,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 9 mois,Transformer les ventes avec Pipedrive : avantages et inconvénients,Paule
"Globalement l'expérience de Pipedrive est bonne. J'avais un profil novice sur les CRM et j'ai facilement pu le prendre en main.On peut, grâce aux rapports pré-définis avoir accès à des metrics intéressante pour analyser nos ventes. Mais cela pourrait aller un peu plus loin.Il y a certainement des améliorations à faire côté ergonomie. Et notamment pour faire des passations entre des équipes Sales -> CS (ce qui a commencé à être fait avec l'arrivée de ""projects"").",Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 10 mois,Pipedrive : un CRM simple à appréhender !,Utilisateur vérifié
"Globalement j’en suis très content, un CRM très complet et performant pour la gestion de la relation client.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 5 mois,Un bon logiciel pour la gestion des clients,Laurent
Pipedrive a été un excellent ajout à notre boîte à outils de vente.,Temps d'utilisation du logiciel : 1 à 5 mois,"5,0",il y a 9 mois,CRM convivial : mon expérience avec Pipedrive,Elias
Conquise par ce CRM,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 4 mois,Prospection et CRM,Elise
With Pipedrive I can easily track and manage my leads on a daily basis.,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 2 ans,I switched from Hubspot to Pipedrive on a friend's recommendation,Benjamin
"I loved Pipedrive while I was using it as a beginner because of its simplistic nature, but ended up switching after our company grew past 20 employees because it could not meet our demands",Temps d'utilisation du logiciel : plus d'un an,"4,0",l’année dernière,Great choice for small businesses or startups,Maggie
Our team of 10 sales reps have had 5 excellent years using Pipedrive.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,A great lightweight CRM,Hugo
Very good CRM. Good way to automatise your differents tasks.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,Easy to use,Stanislas
"When your needs are basic, and database not too big, it is a good software.",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 3 ans,decent CRM for SMB,Utilisateur vérifié
It's reasonably priced and I use it every day to manage my business.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 3 mois,Easy-to-configure CRM,ousseynou
We use it for deal flow for our fund to select companies in which to invest. Does the job great.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 5 ans,Excellent combination of power and ease of use,Patrick
"Expérience global de salesforce positif, il répond à nos attentes et je pense que nous utilisons pas la totalité des fonctionnalités....",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 6 mois,Salesforce un outil qui répond au besoin pour un coup relativement important,Bastien
a mon niveau de consultation tout va bien,Temps d'utilisation du logiciel : plus de deux ans,"3,0",il y a 2 ans,bon logiciel mais mérite d'être plus simple,semi
"Bonne utilisation du logiciel, que je recommande d’ailleurs. Les prévisions des ventes optimisées par l'IA, outils analytics adaptés sont un plus.",Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 4 semaines,Une aide considérable dans la gestion commerciale,Utilisateur vérifié
Très bonne expérience d'utilisation,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",l’année dernière,Logiciel CRM très complet,Utilisateur vérifié
"Je vois Salesforce comme un portail qui fait le lien entre le personnel sédentaire et le terrain, cela permet de gagner du temps, dans la recherche de fichiers, d'évènements grâce au calendrier, pour communiquer, c'est très efficace, tout est regroupé sur une seule plateforme. certains points fonctionnels sont à améliorer mais j'apprécie la possibilité d'adapter l'outil aux besoins de l'entreprise.",Temps d'utilisation du logiciel : 1 à 5 mois,"4,0",l’année dernière,mon avis sur Salesforce,Adrien
Bonne expérience avec cette outil de part son utilisation,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 3 semaines,Avis Salesforce,belinda
"Utilizzo il software per montare l'andamento dell'intero processo di vendita, identificarne eventuali criticità da superare, e prevedere il raggiungimento del budget. Il software, inoltre, è particolarmente utile per la gestione dei contatti dei clienti.",Temps d'utilisation du logiciel : plus d'un an,"4,0",il y a 8 mois,Gestione dettagliata del processo di vendita,Sabrina
"A complete CRM solution, very easy to use, fast and light.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,Best CRM tool I've ever used,Bruno
"Expérience global de salesforce positif, il répond à nos attentes et je pense que nous utilisons pas la totalité des fonctionnalités....",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 6 mois,Salesforce un outil qui répond au besoin pour un coup relativement important,Bastien
a mon niveau de consultation tout va bien,Temps d'utilisation du logiciel : plus de deux ans,"3,0",il y a 2 ans,bon logiciel mais mérite d'être plus simple,semi
"Bonne utilisation du logiciel, que je recommande d’ailleurs. Les prévisions des ventes optimisées par l'IA, outils analytics adaptés sont un plus.",Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 4 semaines,Une aide considérable dans la gestion commerciale,Utilisateur vérifié
Très bonne expérience d'utilisation,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",l’année dernière,Logiciel CRM très complet,Utilisateur vérifié
"Je vois Salesforce comme un portail qui fait le lien entre le personnel sédentaire et le terrain, cela permet de gagner du temps, dans la recherche de fichiers, d'évènements grâce au calendrier, pour communiquer, c'est très efficace, tout est regroupé sur une seule plateforme. certains points fonctionnels sont à améliorer mais j'apprécie la possibilité d'adapter l'outil aux besoins de l'entreprise.",Temps d'utilisation du logiciel : 1 à 5 mois,"4,0",l’année dernière,mon avis sur Salesforce,Adrien
Bonne expérience avec cette outil de part son utilisation,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 3 semaines,Avis Salesforce,belinda
"Utilizzo il software per montare l'andamento dell'intero processo di vendita, identificarne eventuali criticità da superare, e prevedere il raggiungimento del budget. Il software, inoltre, è particolarmente utile per la gestione dei contatti dei clienti.",Temps d'utilisation du logiciel : plus d'un an,"4,0",il y a 8 mois,Gestione dettagliata del processo di vendita,Sabrina
"A complete CRM solution, very easy to use, fast and light.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,Best CRM tool I've ever used,Bruno
"Expérience global de salesforce positif, il répond à nos attentes et je pense que nous utilisons pas la totalité des fonctionnalités....",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 6 mois,Salesforce un outil qui répond au besoin pour un coup relativement important,Bastien
a mon niveau de consultation tout va bien,Temps d'utilisation du logiciel : plus de deux ans,"3,0",il y a 2 ans,bon logiciel mais mérite d'être plus simple,semi
"Bonne utilisation du logiciel, que je recommande d’ailleurs. Les prévisions des ventes optimisées par l'IA, outils analytics adaptés sont un plus.",Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 4 semaines,Une aide considérable dans la gestion commerciale,Utilisateur vérifié
Très bonne expérience d'utilisation,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",l’année dernière,Logiciel CRM très complet,Utilisateur vérifié
"Je vois Salesforce comme un portail qui fait le lien entre le personnel sédentaire et le terrain, cela permet de gagner du temps, dans la recherche de fichiers, d'évènements grâce au calendrier, pour communiquer, c'est très efficace, tout est regroupé sur une seule plateforme. certains points fonctionnels sont à améliorer mais j'apprécie la possibilité d'adapter l'outil aux besoins de l'entreprise.",Temps d'utilisation du logiciel : 1 à 5 mois,"4,0",l’année dernière,mon avis sur Salesforce,Adrien
Bonne expérience avec cette outil de part son utilisation,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 3 semaines,Avis Salesforce,belinda
"Utilizzo il software per montare l'andamento dell'intero processo di vendita, identificarne eventuali criticità da superare, e prevedere il raggiungimento del budget. Il software, inoltre, è particolarmente utile per la gestione dei contatti dei clienti.",Temps d'utilisation du logiciel : plus d'un an,"4,0",il y a 8 mois,Gestione dettagliata del processo di vendita,Sabrina
"A complete CRM solution, very easy to use, fast and light.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,Best CRM tool I've ever used,Bruno
