comment,date_experience,review_score,timestamp,title,user_name
"Quickbooks est un logiciel très efficace pour moi qui suis freelance, formatrice à distance. Je l'utilise très régulièrement pour mes factures et mes déclarations d'impôts",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 12 mois,un logiciel de comptabilité complet pour votre entreprise,Delphine
Très déçu.,Temps d'utilisation du logiciel : 6 à 12 mois,"1,0",il y a 2 ans,Qu'est-ce que c'est que cette escroquerie ?,Nicolas
Utile pour toutes la gestion des finances.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 5 mois,C'est le logiciel de comptabilité utile,Marion
mon expérience es vaste comparativement à avant hummmm y a pas photo moi je baigne dans la joie car le logiciel QUICK BOOKS BUREAU ENTREPRISE m aide en tout et pour le travail merci,Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,quick books bureau de coeur,françois
Je trouve que beaucoup de personne devrai utiliser cette application je valide amplement,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 12 mois,Gestion de finance très efficace et précise,Samuel
très bonne expérienceil faut le prendre en main mais très bon retours des collaborateurs,Temps d'utilisation du logiciel : 1 à 5 mois,"3,0",il y a 2 mois,pour la compta facile,Allan
"Overall, it's a very good software. I really like to use this software because with it, no more losing invoices or forgetting a declaration.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,An essential working tool,ANTHONY
cheaper than the one I used to have that decided to increase the fees x 10 (Sellsy),Temps d'utilisation du logiciel : plus d'un an,"4,0",il y a 5 ans,Not so bad for a little price but you don't have to ask for the support,Utilisateur vérifié
"Pues tener todas las cuentas por pagar, nómina y cuentas por cobrar en un mismo sistema, te proporciona mayor facilidad para hacerle un seguimiento a las órdenes de compra. Evita en todos los sentidos tener documentos impresos o escritos a mano, por consiguiente al poseer todos los documentos asociados en QB, esto hace que los procesos y seguimientos sean mucho màs eficientes,",Temps d'utilisation du logiciel : Essai gratuit,"4,0",il y a 2 ans,"""Buen sistema de contabilidad para pequeñas y medianas empresas""",Diosney
"I discovered Quickbooks some weeks ago, looking for a new software to help me manager correctly my company's accounting. The user interface is very clear, it's really easy to use, great experience during the onboarding. Setting up your account is very easy. You have access to useful informations like VAT, analytics of activity and clients import is really easy and useful. The best feature for me, is the synchro with your bank account ! In just few seconds you can directly in Quickbooks discover your company's bank account and associate expenses and bank operations. The only little problem I had, is that french support isn't so easy to talk with, I had some questions for email customisation. But globally, excellent product at good price ! It really help me to have a better understanding of my business",Temps d'utilisation du logiciel : 1 à 5 mois,"4,0",il y a 7 ans,Amazing intuitive software !,Romain
"for mr its easy to used and handle your quickbook destop, while your home or even at working, i also use it my passtime to check and send to my coordinators",Temps d'utilisation du logiciel : Essai gratuit,"5,0",il y a 2 ans,the fastest software and easy to use,Grace
"It's tough to give an opinion when you don't like numbers, and you just want it to go away. However, if I have to be fair, Quickbooks is a better overall tool from the ones I could have used in the past.",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 2 ans,I am forced by my accountant to use an Accounting tool. Better be good one!,Utilisateur vérifié
Not much but I worked with it for short time,Temps d'utilisation du logiciel : Essai gratuit,"5,0",il y a 3 ans,Customers & vendors,Ahmed
I am very confident with the tool since I use it and now all the team is using it as well. We will recommand it in the future for sure!,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 7 ans,The best in its kind,Thiesset
Good!,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",l’année dernière,Makes like so much easier,Jackie
"Quickbooks est un logiciel très efficace pour moi qui suis freelance, formatrice à distance. Je l'utilise très régulièrement pour mes factures et mes déclarations d'impôts",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 12 mois,un logiciel de comptabilité complet pour votre entreprise,Delphine
Très déçu.,Temps d'utilisation du logiciel : 6 à 12 mois,"1,0",il y a 2 ans,Qu'est-ce que c'est que cette escroquerie ?,Nicolas
Utile pour toutes la gestion des finances.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 5 mois,C'est le logiciel de comptabilité utile,Marion
mon expérience es vaste comparativement à avant hummmm y a pas photo moi je baigne dans la joie car le logiciel QUICK BOOKS BUREAU ENTREPRISE m aide en tout et pour le travail merci,Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,quick books bureau de coeur,françois
Je trouve que beaucoup de personne devrai utiliser cette application je valide amplement,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 12 mois,Gestion de finance très efficace et précise,Samuel
très bonne expérienceil faut le prendre en main mais très bon retours des collaborateurs,Temps d'utilisation du logiciel : 1 à 5 mois,"3,0",il y a 2 mois,pour la compta facile,Allan
"Overall, it's a very good software. I really like to use this software because with it, no more losing invoices or forgetting a declaration.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,An essential working tool,ANTHONY
cheaper than the one I used to have that decided to increase the fees x 10 (Sellsy),Temps d'utilisation du logiciel : plus d'un an,"4,0",il y a 5 ans,Not so bad for a little price but you don't have to ask for the support,Utilisateur vérifié
"Pues tener todas las cuentas por pagar, nómina y cuentas por cobrar en un mismo sistema, te proporciona mayor facilidad para hacerle un seguimiento a las órdenes de compra. Evita en todos los sentidos tener documentos impresos o escritos a mano, por consiguiente al poseer todos los documentos asociados en QB, esto hace que los procesos y seguimientos sean mucho màs eficientes,",Temps d'utilisation du logiciel : Essai gratuit,"4,0",il y a 2 ans,"""Buen sistema de contabilidad para pequeñas y medianas empresas""",Diosney
